artist,chart
Barry White,greatest-r-b-hip-hop-artists
Teddy Pendergrass,greatest-r-b-hip-hop-artists
The Impressions,greatest-r-b-hip-hop-artists
The Whispers,greatest-r-b-hip-hop-artists
Ludacris,greatest-r-b-hip-hop-artists
Stephanie Mills,greatest-r-b-hip-hop-artists
Wilson Pickett,greatest-r-b-hip-hop-artists
"Bobby ""Blue"" Bland",greatest-r-b-hip-hop-artists
Otis Redding,greatest-r-b-hip-hop-artists
Jerry Butler,greatest-r-b-hip-hop-artists
Quincy Jones,greatest-r-b-hip-hop-artists
Snoop Dogg,greatest-r-b-hip-hop-artists
Bobby Womack,greatest-r-b-hip-hop-artists
Maze Featuring Frankie Beverly,greatest-r-b-hip-hop-artists
Gerald Levert,greatest-r-b-hip-hop-artists
Levert,greatest-r-b-hip-hop-artists
Sam Cooke,greatest-r-b-hip-hop-artists
Ashford & Simpson,greatest-r-b-hip-hop-artists
The Dells,greatest-r-b-hip-hop-artists
B.B. King,greatest-r-b-hip-hop-artists
Muse,greatest-alternative-songs
Rise Against,greatest-alternative-songs
Portugal. The Man,greatest-alternative-songs
Foo Fighters,greatest-alternative-songs
Cold War Kids,greatest-alternative-songs
Fuel,greatest-alternative-songs
Peter Murphy,greatest-alternative-songs
Incubus,greatest-alternative-songs
The Neighbourhood,greatest-alternative-songs
Marcy Playground,greatest-alternative-songs
Arctic Monkeys,greatest-alternative-songs
Lit,greatest-alternative-songs
Live,greatest-alternative-songs
Oasis,greatest-alternative-songs
Staind,greatest-alternative-songs
Milky Chance,greatest-alternative-songs
Gorillaz,greatest-alternative-songs
Cage The Elephant,greatest-alternative-songs
The Black Keys,greatest-alternative-songs
Puddle Of Mudd,greatest-alternative-songs
Foster The People,greatest-alternative-songs
Phoenix,greatest-alternative-songs
The Dirty Heads Featuring Rome,greatest-alternative-songs
The Cure,greatest-alternative-songs
Better Than Ezra,greatest-alternative-songs
X Ambassadors,greatest-alternative-songs
The Cranberries,greatest-alternative-songs
Finger Eleven,greatest-alternative-songs
Bastille,greatest-alternative-songs
Everlast,greatest-alternative-songs
The Smashing Pumpkins,greatest-alternative-songs
Capital Cities,greatest-alternative-songs
Siouxsie & The Banshees,greatest-alternative-songs
Butthole Surfers,greatest-alternative-songs
Eve 6,greatest-alternative-songs
Jane's Addiction,greatest-alternative-songs
Trapt,greatest-alternative-songs
The Lemonheads,greatest-alternative-songs
Sublime,greatest-alternative-songs
Big Audio,greatest-alternative-songs
Papa Roach,greatest-alternative-songs
Ian McCulloch,greatest-alternative-songs
Kate Bush,greatest-alternative-songs
James,greatest-alternative-songs
The White Stripes,greatest-alternative-songs
Anberlin,greatest-alternative-songs
The Revivalists,greatest-alternative-songs
XTC,greatest-alternative-songs
Everclear,greatest-alternative-songs
Seether,greatest-alternative-songs
The Offspring,greatest-alternative-songs
Sisters Of Mercy,greatest-alternative-songs
Three Days Grace,greatest-alternative-songs
311,greatest-alternative-songs
Stone Temple Pilots,greatest-alternative-songs
Nine Inch Nails,greatest-alternative-songs
Julian Cope,greatest-alternative-songs
Primitive Radio Gods,greatest-alternative-songs
Beck,greatest-alternative-songs
Vance Joy,greatest-alternative-songs
Belly,greatest-alternative-songs
Toad The Wet Sprocket,greatest-alternative-songs
Fitz And The Tantrums,greatest-alternative-songs
Silverchair,greatest-alternative-songs
Audioslave,greatest-alternative-songs
Silversun Pickups,greatest-alternative-songs
Weezer,greatest-alternative-songs
Morrissey,greatest-alternative-songs
Bush,greatest-alternative-songs
Big Data Featuring Joywave,greatest-alternative-songs
Cake,greatest-alternative-songs
Ned's Atomic Dustbin,greatest-alternative-songs
Semisonic,greatest-alternative-songs
Jimmy Eat World,greatest-alternative-songs
The Replacements,greatest-alternative-songs
Queens Of The Stone Age,greatest-alternative-songs
The Sugarcubes,greatest-alternative-songs
Lou Reed,greatest-alternative-songs
lovelytheband,greatest-alternative-songs
My Chemical Romance,greatest-alternative-songs
The Psychedelic Furs,greatest-alternative-songs
KALEO,greatest-alternative-songs
Primal Scream,greatest-alternative-songs
The Presidents Of The United States Of America,greatest-alternative-songs
Camouflage,greatest-alternative-songs
World Party,greatest-alternative-songs
Grouplove,greatest-alternative-songs
Limp Bizkit,greatest-alternative-songs
Dishwalla,greatest-alternative-songs
Breaking Benjamin,greatest-alternative-songs
AFI,greatest-alternative-songs
Fastball,greatest-alternative-songs
The Breeders,greatest-alternative-songs
Shinedown,greatest-alternative-songs
Of Monsters And Men,greatest-alternative-songs
KONGOS,greatest-alternative-songs
Stone Sour,greatest-alternative-songs
Porno For Pyros,greatest-alternative-songs
Soundgarden,greatest-alternative-songs
Spacehog,greatest-alternative-songs
Robyn Hitchcock,greatest-alternative-songs
Apocalyptica Featuring Adam Gontier,greatest-alternative-songs
The Killers,greatest-alternative-songs
eels,greatest-alternative-songs
Crossfade,greatest-alternative-songs
AWOLNATION,greatest-alternative-songs
Elastica,greatest-alternative-songs
Chevelle,greatest-alternative-songs
Concrete Blonde,greatest-alternative-songs
Tori Amos,greatest-alternative-songs
The Church,greatest-alternative-songs
Elvis Costello,greatest-alternative-songs
Elle King,greatest-alternative-songs
"10,000 Maniacs",greatest-alternative-songs
Folk Implosion,greatest-alternative-songs
The Jesus And Mary Chain,greatest-alternative-songs
Tracy Bonham,greatest-alternative-songs
The Sundays,greatest-alternative-songs
Blind Melon,greatest-alternative-songs
Electronic,greatest-alternative-songs
Hoodoo Gurus,greatest-alternative-songs
The Red Jumpsuit Apparatus,greatest-alternative-songs
The Charlatans,greatest-alternative-songs
Radiohead,greatest-alternative-songs
Atlas Genius,greatest-alternative-songs
Young The Giant,greatest-alternative-songs
Toadies,greatest-alternative-songs
Garbage,greatest-alternative-songs
Thirty Seconds To Mars,greatest-alternative-songs
Public Image Ltd.,greatest-alternative-songs
Saliva,greatest-alternative-songs
10 Years,greatest-alternative-songs
The Raconteurs,greatest-alternative-songs
System Of A Down,greatest-alternative-songs
Gene Loves Jezebel,greatest-alternative-songs
The Verve,greatest-alternative-songs
Collective Soul,greatest-alternative-songs
Edie Brickell & New Bohemians,greatest-alternative-songs
Hole,greatest-alternative-songs
Disturbed,greatest-alternative-artists
Death Cab For Cutie,greatest-alternative-artists
Korn,greatest-alternative-artists
Midnight Oil,greatest-alternative-artists
Alice In Chains,greatest-alternative-artists
Fall Out Boy,greatest-alternative-artists
Social Distortion,greatest-alternative-artists
Godsmack,greatest-alternative-artists
Bryce Vine,pop-songs
Meghan Trainor Featuring Nicki Minaj,pop-songs
Ellie Goulding Featuring blackbear,pop-songs
Noah Cyrus & Leon Bridges,pop-songs
Ed Sheeran & Justin Bieber,adult-contemporary
Shawn Mendes & Camila Cabello,adult-contemporary
Dan + Shay & Justin Bieber,adult-contemporary
Kygo X Whitney Houston,adult-contemporary
SHAED,adult-contemporary
Tom Fuller,adult-contemporary
Billie Joe Armstrong,adult-contemporary
Village People,adult-contemporary
SZA X Justin Timberlake,adult-contemporary
Sam Fischer,adult-pop-songs
Leslie Odom Jr.,adult-pop-songs
John K,adult-pop-songs
LOCASH,country-songs
Justin Moore,country-songs
Kelsea Ballerini x Halsey,country-songs
HARDY Featuring Lauren Alaina & Devin Dawson,country-songs
Chris Janson,country-songs
Parmalee x Blanco Brown,country-songs
Breland,country-songs
Gone West,country-songs
Kane Brown & John Legend,country-songs
Lauren Alaina,country-songs
Kip Moore,country-songs
Jameson Rodgers,country-songs
Parker McCollum,country-songs
Russell Dickerson,country-songs
Matt Stell,country-songs
MacKenzie Porter,country-songs
Brett Eldredge,country-songs
Carly Pearce,country-albums
Riley Green,country-albums
Bebe Rexha & Florida Georgia Line,country-streaming-songs
Michael Ray,country-airplay
Chase Rice,country-airplay
Midland,country-airplay
Jon Langston,country-airplay
Chris Lane,country-airplay
LANCO,country-airplay
Tenille Arts,country-airplay
Lindsay Ell,country-airplay
Runaway June,country-airplay
Niko Moon,country-airplay
Drew Baldridge,country-airplay
Dylan Scott,country-airplay
Brandon Lay,country-airplay
Payton Smith,country-airplay
Jimmie Allen & Noah Cyrus,country-airplay
Billy Strings,bluegrass-albums
The SteelDrivers,bluegrass-albums
The Dead South,bluegrass-albums
Mandolin Orange,bluegrass-albums
The White Buffalo,bluegrass-albums
Sierra Hull,bluegrass-albums
Trampled By Turtles,bluegrass-albums
Chatham County Line,bluegrass-albums
Steep Canyon Rangers / Asheville Symphony,bluegrass-albums
Wu Fei & Abigail Washburn,bluegrass-albums
Greensky Bluegrass,bluegrass-albums
Jim Lauderdale,bluegrass-albums
Old Crow Medicine Show,bluegrass-albums
Steep Canyon Rangers,bluegrass-albums
Che Apalache,bluegrass-albums
Hozier,americana-folk-albums
Jack Johnson,americana-folk-albums
Jimmy Buffett,americana-folk-albums
"Crosby, Stills & Nash",americana-folk-albums
Lord Huron,americana-folk-albums
Falling In Reverse,rock-songs
iann dior Featuring Machine Gun Kelly & Travis Barker,rock-songs
Glass Animals,rock-songs
The Head And The Heart,rock-songs
The 1975,rock-songs
Oliver Tree,rock-songs
Matt Maeson,rock-songs
HAIM,rock-songs
Bad Wolves,rock-songs
Live Lounge Allstars,rock-songs
Breaking Benjamin Featuring Scooter Ward,rock-songs
NEEDTOBREATHE,rock-songs
Ozzy Osbourne Featuring Elton John,rock-songs
Motionless In White,rock-songs
The Hu Featuring Jacoby Shaddix,rock-songs
Jadn,rock-songs
"Cory Marks Featuring Travis Tritt, Ivan Moody & Mick Mars",rock-songs
A Day To Remember,rock-songs
Grey Daze,rock-songs
Saint Motel,rock-songs
Khruangbin,rock-songs
Queen + Adam Lambert,rock-songs
All Time Low Featuring blackbear,rock-songs
Bakar,rock-songs
The Blue Stones,rock-songs
Van Morrison,rock-streaming-songs
Absofacto,rock-airplay
Ashe,rock-airplay
Major Lazer Featuring Marcus Mumford,rock-airplay
KennyHoopla,rock-airplay
24kGoldn,rock-airplay
Asking Alexandria,rock-airplay
cheapcuts Featuring Pete Wentz,rock-airplay
EOB,rock-airplay
REZZ x Grabbitz,rock-airplay
Highly Suspect,rock-airplay
Blue October,rock-airplay
Flume Featuring Toro y Moi,rock-airplay
Magic Giant,rock-airplay
Dirty Honey,rock-airplay
Bishop Briggs,rock-digital-song-sales
Ratt,rock-digital-song-sales
Joywave,alternative-songs
Chaz Cardigan,alternative-songs
CHVRCHES,alternative-songs
FINNEAS,alternative-songs
The Airborne Toxic Event,alternative-songs
Bleeker,alternative-songs
White Reaper,alternative-songs
BENEE,alternative-albums
Jason Isbell And The 400 Unit,triple-a
Black Pumas,triple-a
Mt. Joy,triple-a
CAAMP,triple-a
Nathaniel Rateliff,triple-a
Soccer Mommy,triple-a
Illiterate Light,triple-a
Katie Pruitt,triple-a
Pretenders,triple-a
Nicole Atkins,triple-a
Michael Kiwanuka,triple-a
Pete Yorn,triple-a
ZZ Ward,triple-a
Laura Marling,triple-a
U.S. Girls,triple-a
Moon Taxi,triple-a
Perfume Genius,triple-a
Volbeat,hot-mainstream-rock-tracks
Saint Asonia,hot-mainstream-rock-tracks
The Glorious Sons,hot-mainstream-rock-tracks
Starset,hot-mainstream-rock-tracks
Theory Of A Deadman,hot-mainstream-rock-tracks
Pop Evil,hot-mainstream-rock-tracks
Skillet,hot-mainstream-rock-tracks
DED,hot-mainstream-rock-tracks
Scott Stapp,hot-mainstream-rock-tracks
The Black Moods,hot-mainstream-rock-tracks
Through Fire,hot-mainstream-rock-tracks
Biffy Clyro,hot-mainstream-rock-tracks
Red,hot-mainstream-rock-tracks
Slipknot,hard-rock-albums
Rage Against The Machine,hard-rock-albums
Wale Featuring Jeremih,hot-r-and-b-hip-hop-airplay
Chris Brown Featuring Drake,hot-r-and-b-hip-hop-airplay
Usher Featuring Ella Mai,hot-r-and-b-hip-hop-airplay
Russ & BIA,hot-r-and-b-hip-hop-airplay
Moneybagg Yo Featuring Blac Youngsta,hot-r-and-b-hip-hop-airplay
Charlie Wilson,hot-r-and-b-hip-hop-airplay
Flipp Dinero Featuring Lil Baby,hot-r-and-b-hip-hop-airplay
Rotimi Featuring Wale,hot-r-and-b-hip-hop-airplay
Kem,hot-r-and-b-hip-hop-airplay
Yella Beezy & Young Thug,hot-r-and-b-hip-hop-airplay
Phony Ppl Featuring Megan Thee Stallion,hot-r-and-b-hip-hop-airplay
Fivio Foreign,hot-r-and-b-hip-hop-airplay
Ebenezer,hot-r-and-b-hip-hop-airplay
"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",hot-r-and-b-hip-hop-airplay
J.I.,hot-r-and-b-hip-hop-airplay
"Lil Yachty, Drake & DaBaby",hot-r-and-b-hip-hop-airplay
"Migos, Young Thug & Travis Scott",hot-r-and-b-hip-hop-airplay
"Usher, Lil Jon & Ludacris",hot-r-and-b-hip-hop-airplay
Brandy Featuring Chance The Rapper,hot-r-and-b-hip-hop-airplay
Polo G Featuring NLE Choppa & Stunna 4 Vegas,hot-r-and-b-hip-hop-airplay
Stokley,hot-r-and-b-hip-hop-recurrent-airplay
Chris Brown Featuring Gunna,hot-r-and-b-hip-hop-recurrent-airplay
Young Thug Featuring Gunna,hot-r-and-b-hip-hop-recurrent-airplay
Mahalia Featuring Ella Mai,hot-r-and-b-hip-hop-recurrent-airplay
Lil Nas X Featuring Billy Ray Cyrus,r-and-b-hip-hop-digital-song-sales
Trey Songz Featuring Summer Walker,r-and-b-hip-hop-digital-song-sales
G-Eazy x Jack Harlow,r-and-b-hip-hop-digital-song-sales
Jhene Aiko Featuring H.E.R.,r-and-b-songs
Doja Cat Featuring Gucci Mane,r-and-b-songs
Khalid x Disclosure,r-and-b-songs
Kehlani,r-and-b-songs
Tory Lanez Featuring Chris Brown,r-and-b-songs
Ali Gatie,r-and-b-songs
PARTYNEXTDOOR Featuring Drake,r-and-b-songs
Summer Walker X Drake,r-and-b-streaming-songs
Doja Cat & Tyga,r-and-b-streaming-songs
Bill Withers,r-and-b-digital-song-sales
Duke Deuce,mainstream-r-and-b-hip-hop
Mulatto,mainstream-r-and-b-hip-hop
Tamar Braxton,hot-adult-r-and-b-airplay
Nicole Bus,hot-adult-r-and-b-airplay
PJ Morton,hot-adult-r-and-b-airplay
J. Brown,hot-adult-r-and-b-airplay
Ledisi,hot-adult-r-and-b-airplay
Coline Creuzot,hot-adult-r-and-b-airplay
Kiana Lede,hot-adult-r-and-b-airplay
Lonr. Featuring H.E.R.,hot-adult-r-and-b-airplay
CeeLo Green,hot-adult-r-and-b-airplay
Boney James Featuring Kenny Lattimore,hot-adult-r-and-b-airplay
Brittany Howard,hot-adult-r-and-b-airplay
Jayq The Legend,hot-adult-r-and-b-airplay
Tyga x Curtis Roach,rhythmic-40
"G-Eazy, Tory Lanez & Tyga",rhythmic-40
DaniLeigh Feaaturing DaBaby,rhythmic-40
Karol G & Nicki Minaj,rhythmic-40
Arcangel x Sech,latin-songs
"Bad Bunny, Jowell & Randy & Nengo Flow",latin-songs
Lenin Ramirez Featuring Grupo Firme,latin-songs
Anuel AA,latin-songs
Bad Bunny & Sech,latin-songs
Daddy Yankee & Sech,latin-songs
Nicky Jam & Daddy Yankee,latin-songs
Bad Bunny X Daddy Yankee,latin-songs
Christian Nodal,latin-songs
Shakira & Anuel AA,latin-songs
El Fantasma,latin-songs
"Reik, Farruko & Camilo",latin-songs
"Black Eyed Peas, Ozuna + J.Rey Soul",latin-songs
Camilo,latin-songs
Bad Bunny & Yaviah,latin-songs
Lunay x Myke Towers,latin-songs
"Justin Quiles, Daddy Yankee & El Alfa",latin-songs
Nio Garcaia x Anuel AA x Myke Towers x Brray x Juanka,latin-songs
"Rvssian, Anuel AA & Juice WRLD",latin-songs
Silvestre Dangond,latin-songs
Bad Bunny X Anuel AA,latin-songs
"Sebastian Yatra, Rauw Alejandro & Manuel Turizo",latin-songs
"Jhay Cortez, Anuel AA & J Balvin",latin-songs
Karol G x Anuel AA,latin-songs
Maluma,latin-songs
Junior H,latin-songs
Bad Bunny & Mora,latin-songs
"Natti Natasha, Nicky Jam, Myke Towers, Manuel Turizo, DJ Luian & Mambo Kingz",latin-songs
"Banda Los Sebastianes de Mazatlan, Sinaloa.",latin-songs
Neto Bernal,latin-songs
Ozuna,latin-albums
J Balvin & Bad Bunny,latin-albums
Arcangel,latin-albums
Lunay,latin-albums
Jhay Cortez,latin-albums
Farruko,latin-albums
Becky G,latin-albums
Nicky Jam,latin-albums
Sech,latin-albums
Karol G,latin-albums
Fuerza Regida,latin-albums
Dalex,latin-albums
Banda Sinaloense MS de Sergio Lizarraga,latin-albums
Natti Natasha,latin-albums
Herencia de Patrones,latin-albums
Ariel Camacho y Los Plebes del Rancho,latin-albums
Luis Fonsi & Daddy Yankee Featuring Justin Bieber,latin-streaming-songs
Bad Bunny & Tainy,latin-streaming-songs
"Jhay Cortez, J Balvin & Bad Bunny",latin-streaming-songs
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",latin-streaming-songs
J Balvin & Willy William Featuring Beyonce,latin-streaming-songs
Rauw Alejandro X Farruko,latin-streaming-songs
"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",latin-streaming-songs
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",latin-streaming-songs
Bad Bunny Featuring Drake,latin-streaming-songs
"Tainy, Anuel AA & Ozuna",latin-streaming-songs
Anuel AA & Romeo Santos,latin-streaming-songs
Jay Wheeler,latin-airplay
Wisin & Yandel + Sech,latin-airplay
Gerardo Ortiz,latin-airplay
Jenni Rivera,latin-airplay
La Maquinaria Nortena Featuring Grupo Firme,latin-airplay
Los Angeles Azules Featuring Abel Pintos,latin-airplay
Banda Los Recoditos,latin-airplay
Calibre 50 & Joan Sebastian,latin-airplay
Edwin Luna y La Trakalosa de Monterrey,latin-airplay
Chino & Nacho,latin-airplay
Lenny Tavarez & Justin Quiles,latin-airplay
Pedro Capo,latin-airplay
Enigma Nortno X Javier Rosas y Su Artilleria Pesada,latin-airplay
Dalex & Sech,latin-airplay
Banda Carnaval,latin-airplay
"Carlos Rivera, Becky G & Pedro Capo",latin-airplay
Ivy Queen,latin-airplay
Pesado,latin-airplay
Banda Tierra Sagrada & Imperio Calavera,latin-airplay
Daddy Yankee Featuring Snow,latin-digital-song-sales
Monsieur JOB,latin-digital-song-sales
Monsieur Job Featuring Charly Black,latin-digital-song-sales
Pedro Capo X Farruko,latin-digital-song-sales
Shakira Featuring Freshlyground,latin-digital-song-sales
Gente de Zona & Becky G,latin-digital-song-sales
Tercer Cielo,latin-digital-song-sales
"DJ Snake, J. Balvin & Tyga",latin-digital-song-sales
Chalino Sanchez,regional-mexican-albums
Lenin Ramirez,regional-mexican-albums
Los Angeles Azules,regional-mexican-albums
T3r Elemento,regional-mexican-albums
Pancho Barraza,latin-regional-mexican-airplay
Raymix X Paulina Rubio,latin-regional-mexican-airplay
Calibre 50,latin-regional-mexican-airplay
Los Huracanes del Norte,latin-regional-mexican-airplay
Siggno,latin-regional-mexican-airplay
La Original Banda el Limon de Salvador Lizarraga,latin-regional-mexican-airplay
Giovanny Ayala,latin-regional-mexican-airplay
"Los Tigres del Norte, Ana Barbara, Fuerza Regida & Natanael Cano",latin-regional-mexican-airplay
Espinoza Paz,latin-regional-mexican-airplay
Ulices Chaidez,latin-regional-mexican-airplay
Banda Fortuna,latin-regional-mexican-airplay
Banda MS,latin-regional-mexican-airplay
Kanales,latin-regional-mexican-airplay
La Energia Nortena,latin-regional-mexican-airplay
Ana Barbara & Bronco,latin-regional-mexican-airplay
Justin Sierreno MX y Su Banda,latin-regional-mexican-airplay
Reik,latin-pop-albums
Sebastian Yatra,latin-pop-albums
Mau y Ricky,latin-pop-albums
Camila,latin-pop-albums
CNCO,latin-pop-albums
Cali y El Dandee + Reik,latin-pop-airplay
Guaynaa,latin-pop-airplay
Jesse & Joy,latin-pop-airplay
Fonseca & Silvestre Dangond,latin-pop-airplay
Luis Figueroa,latin-pop-airplay
CNCO & Natti Natasha,latin-pop-airplay
Abraham Mateo & Manuel Turizo,latin-pop-airplay
Sech x Ozuna,latin-pop-airplay
CNCO & Manuel Turizo,latin-pop-airplay
Ovy On The Drums + Mau y Ricky,latin-pop-airplay
Darkiel X Shaggy X MAFFiO,latin-pop-airplay
Elvis Crespo,tropical-albums
La Sonora Dinamita,tropical-albums
Jerry Rivera,tropical-albums
Gente de Zona,tropical-albums
Buena Vista Social Club,tropical-albums
Hector Lavoe,tropical-albums
Zacarias Ferreira,tropical-albums
Natti Natasha & Romeo Santos,latin-tropical-airplay
Victor Manuelle & Wisin,latin-tropical-airplay
Juan Luis Guerra 4.40,latin-tropical-airplay
N'Klabe X Daniela Darcourt,latin-tropical-airplay
Elvis Crespo X Manny Cruz,latin-tropical-airplay
Yahaira Plasencia Featuring Sergio George,latin-tropical-airplay
Alex Sensation + Silvestre Dangond,latin-tropical-airplay
Alexander Abreu & Havana D'Primera,latin-tropical-airplay
Carlos Garcia,latin-tropical-airplay
Charlie Cruz,latin-tropical-airplay
Victor Santiago,latin-tropical-airplay
Tito Rojas,latin-tropical-airplay
Osmir Garay,latin-tropical-airplay
Reykon & Willie Colon,latin-tropical-airplay
Libre X Presion,latin-tropical-airplay
Johnny Rivera,latin-tropical-airplay
Nino Segarra Featuring Pichy Perez,latin-tropical-airplay
Marshmello & Bastille,dance-electronic-songs
surf mesa Featuring Emilee,dance-electronic-songs
Sam Feldt Featuring RANI,dance-electronic-songs
Lil XXEL,dance-electronic-songs
Topic & A7S,dance-electronic-songs
"Kygo, Zara Larsson & Tyga",dance-electronic-songs
Kygo & Sasha Sloan,dance-electronic-songs
Vicetone & Tony Igy,dance-electronic-songs
Alesso & Liam Payne,dance-electronic-songs
BRONSON Featuring lau.ra,dance-electronic-songs
Kygo Featuring Zak Abel,dance-electronic-songs
"Louis The Child, Quinn XCII & Chelsea Cutler",dance-electronic-songs
Robin Schulz Featuring Alida,dance-electronic-songs
Cannons,dance-electronic-songs
Martin Garrix Featuring Clinton Kane,dance-electronic-songs
Loud Luxury Featuring Morgan St. Jean,dance-electronic-songs
Regard & RAYE,dance-electronic-songs
Diplo & SIDEPIECE,dance-electronic-songs
Joel Corry,dance-electronic-songs
"ILLENIUM, Excision & I Prevail",dance-electronic-songs
Elderbrook,dance-electronic-songs
Imanbek & Martin Jensen,dance-electronic-songs
Alan Walker & Ava Max,dance-electronic-songs
Tiesto & Becky Hill,dance-electronic-songs
James Blake,dance-electronic-songs
Hayden James & Icona Pop,dance-electronic-songs
Kygo With Avicii & Sandro Cavazza,dance-electronic-songs
Sofia Carson & R3HAB,dance-electronic-songs
SG Lewis,dance-electronic-songs
Don Diablo Featuring Zak Abel,dance-electronic-songs
Porter Robinson,dance-electronic-songs
Loud Luxury X CID,dance-electronic-songs
Louis The Child & Foster The People,dance-electronic-songs
Sam Feldt Featuring Ella Henderson,dance-electronic-songs
R3HAB x Andy Grammer,dance-electronic-songs
"K-391, Alan Walker & Ahrix",dance-electronic-songs
Matoma & Petey Featuring Wilder Woods,dance-electronic-songs
220 KID & GRACEY,dance-electronic-songs
SLANDER & William Black,dance-electronic-songs
Becky Hill Featuring Shift K3Y,dance-electronic-songs
The Chainsmokers,dance-electronic-albums
Gryffin,dance-electronic-albums
ILLENIUM,dance-electronic-albums
Alan Walker,dance-electronic-albums
ODESZA,dance-electronic-albums
DJ Snake,dance-electronic-albums
Sam Feldt,dance-electronic-albums
RL Grime,dance-electronic-albums
Becky Hill,dance-electronic-albums
M83.,dance-electronic-albums
The Chainsmokers & Coldplay,dance-electronic-streaming-songs
"Zedd, Maren Morris & Grey",dance-electronic-streaming-songs
Marshmello Featuring Khalid,dance-electronic-streaming-songs
"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",dance-electronic-streaming-songs
Marshmello Featuring CHVRCHES,dance-electronic-streaming-songs
Meduza x Becky Hill x GOODBOYS,dance-electronic-streaming-songs
Loud Luxury Featuring Brando,dance-electronic-streaming-songs
Stereo MC's,dance-electronic-digital-song-sales
Jess Glynne,dance-electronic-digital-song-sales
"Alex Newell, Jess Glynne & DJ Cassidy With Nile Rodgers",dance-electronic-digital-song-sales
Yaz,dance-electronic-digital-song-sales
Anabel Englund,hot-dance-airplay
Afrojack Featuring Ally Brooke,hot-dance-airplay
Jessie Reyez,hot-dance-airplay
Lodato,hot-dance-airplay
Krewella,hot-dance-airplay
"Tritonal, SCHALA & Jorza Featuring HALIENE",hot-dance-airplay
Shanguy,hot-dance-airplay
Nicky Romero,hot-dance-airplay
Conro,hot-dance-airplay
Gattuso Featuring Kat Nestel,hot-dance-airplay
Cash Cash Featuring Wrabel,hot-dance-airplay
Sonny Fodera & King Henry Featuring AlunaGeorge,hot-dance-airplay
BRKLYN Featuring Jocelyn Alice,hot-dance-airplay
Galantis & Hook N Sling Featuring Dotan,hot-dance-airplay
Meduza Featuring SHELLS,hot-dance-airplay
Brando,hot-dance-airplay
Gryffin Featuring Maia Wright,hot-dance-airplay
Steve Aoki Featuring Icona Pop,hot-dance-airplay
Duke Dumont,dance-club-play-songs
Michelle Kash,dance-club-play-songs
"Connor Bvrns, Bonn",dance-club-play-songs
Martin Garrix & Dean Lewis,dance-club-play-songs
Mark Ronson Featuring YEBBA,dance-club-play-songs
Jonas Blue & RetroVision,dance-club-play-songs
Chico Rose Featuring Afrojack,dance-club-play-songs
Vintage Culture & Adam K Featuring MKLA,dance-club-play-songs
Love Regenerator,dance-club-play-songs
Bimbo Jones & Thelma Houston,dance-club-play-songs
Hilary Roberts,dance-club-play-songs
Alya,dance-club-play-songs
Elton John & Taron Egerton,dance-club-play-songs
Klaas,dance-club-play-songs
Raquela,dance-club-play-songs
Sir Ivan,dance-club-play-songs
Joey Suarez,dance-club-play-songs
Brett Oosterhaus & Debby Holiday,dance-club-play-songs
The Perry Twins Featuring Jania,dance-club-play-songs
Ladi Rosa,dance-club-play-songs
Gesaffelstein & Rosalia,dance-club-play-songs
The Shapeshifters Featuring Kimberly Davis,dance-club-play-songs
Julio Mena,dance-club-play-songs
Gaurika Featuring Sean Kingston,dance-club-play-songs
Betty Reed,dance-club-play-songs
Andreas Moss Featuring Sinclair,dance-club-play-songs
Luciana & Dave Aude,dance-club-play-songs
Radmila Lolly,dance-club-play-songs
Alex Newell,dance-club-play-songs
The Chainsmokers With Kygo,dance-club-play-songs
Kesha Featuring Big Freedia,dance-club-play-songs
Rosabel Featuring Tamara Wallace,dance-club-play-songs
Mike Jay,dance-club-play-songs
Jonas Blue And Paloma Faith,dance-club-play-songs
DJ Head Featuring Danilo Botelho,dance-club-play-songs
We The Kingdom,christian-songs
Michael W. Smith Featuring Vanessa Campagna & Madelyn Berry,christian-songs
Cory Asbury,christian-songs
Big Daddy Weave,christian-songs
MercyMe,christian-songs
Micah Tyler,christian-songs
Matt Maher Featuring Elle Limebear,christian-songs
Elevation Worship Featuring Brandon Lake,christian-songs
Cochren & Co.,christian-songs
Jeremy Camp,christian-songs
Phil Wickham,christian-songs
Leeland,christian-songs
Casting Crowns,christian-songs
Crowder Featuring Riley Clemmons,christian-songs
We Are Messengers,christian-songs
I AM THEY,christian-songs
Ryan Stevenson,christian-songs
Natalie Grant,christian-songs
Unspoken,christian-songs
tobyMac,christian-songs
Tauren Wells,christian-songs
Colton Dixon,christian-songs
Elevation Worship Featuring Tauren Wells,christian-songs
Danny Gokey,christian-songs
Elevation Worship Featuring Isaiah Templeton,christian-songs
Tasha Layton,christian-songs
"Steven Curtis Chapman Featuring Brad Paisley, Tasha Cobbs Leonard & Lauren Alaina",christian-songs
Building 429 Featuring Brooke DeLeary,christian-songs
Riley Clemmons,christian-songs
Jordan Feliz,christian-songs
Leanna Crawford,christian-songs
Lecrae Featuring YK Osiris,christian-songs
Mandisa,christian-songs
Hannah Kerr,christian-songs
Switch,christian-songs
Hillsong Young & Free,christian-songs
